IMb,IMb Serial Number,Scan DateTime,Scan Event Code,Scan Facility ZIP,Mail Phase,Expected Delivery Date,Anticipated Delivery Date
0027120014602148759030328270977,021487590,2020-09-01 21:00:59-0400,896,30304,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602193473019538004545,021934730,2020-09-01 19:18:30-0400,893,17107,Phase 2a - Destination MMP Processing,2020-08-31,
0027020014600276101678735613260,002761016,2020-09-01 19:45:56-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602088908162839204017,020889081,2020-09-01 21:06:47-0500,896,63155,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602263328398404103318,022633283,2020-09-01 17:26:40-0700,481,98168,Phase 1a - Origin Primary Processing,,
0027120014602181123106057250123,021811231,2020-09-01 19:07:48-0400,894,06101,Phase 2b - Destination SCF Processing,2020-09-04,
0027120014602101618332550582626,021016183,2020-09-01 22:19:02-0500,896,32522,Phase 3a - Destination Secondary Processing,,2020-09-02
0027120014602107225990078435151,021072259,2020-09-01 19:00:57-0700,891,92199,Phase 1a - Origin Primary Processing,,
0027020014600275895085704363045,002758950,2020-09-01 19:49:21-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014600186219876018251420,001862198,2020-09-01 18:16:14-0500,891,75099,Phase 1a - Origin Primary Processing,,
0027120014602250884596022108484,022508845,2020-09-01 18:50:43-0700,894,96049,Phase 2b - Destination SCF Processing,,
0027020014600275769822032373715,002757698,2020-09-01 19:49:52-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602180909206518100121,021809092,2020-09-01 21:00:02-0400,481,06101,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602206751433040471009,022067514,2020-09-01 16:00:37-0400,893,33152,Phase 2a - Destination MMP Processing,2020-09-03,
0027120014602069153490068171485,020691534,2020-09-01 14:20:39-0700,894,92199,Phase 2b - Destination SCF Processing,,
0027120014602243337795422927494,022433377,2020-09-01 13:19:21-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0031120014602266285756240,022662857,2020-09-01 22:11:15-0500,896,56387,Phase 3a - Destination Secondary Processing,,2020-09-02
0027020014600275921997439000795,002759219,2020-09-01 19:49:26-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276005827320849820,002760058,2020-09-01 19:48:50-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602232263581147850900,022322635,2020-09-01 18:48:16-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600276350492705296032,002763504,2020-09-01 19:27:47-0400,891,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602267458047639821001,022674580,2020-09-01 15:41:29-0500,891,63155,Phase 1a - Origin Primary Processing,,
0027020014600276138193940761406,002761381,2020-09-01 19:43:48-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027020014600276618512184531365,002766185,2020-09-01 19:42:57-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602250883596022790083,022508835,2020-09-01 18:50:44-0700,894,96049,Phase 2b - Destination SCF Processing,,
0027120014602110800383866026363,021108003,2020-09-01 10:14:12-0700,484,99224,Phase 2b - Destination SCF Processing,,
0027120014602220048155011952360,022200481,2020-09-01 19:48:38-0500,896,55121,Phase 3a - Destination Secondary Processing,2020-09-04,2020-09-02
0027120014602079166796793154405,020791667,2020-09-01 18:52:48-0700,891,94188,Phase 1a - Origin Primary Processing,2020-09-09,
0027120014602232260081147802592,022322600,2020-09-01 18:48:21-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602166120178132381837,021661201,2020-09-01 19:52:48-0500,891,75099,Phase 1a - Origin Primary Processing,,
0027020014600275785928173715136,002757859,2020-09-01 19:50:02-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602243137794066182280,022431377,2020-09-01 13:16:05-0700,894,94188,Phase 2b - Destination SCF Processing,2020-09-03,
0027120014602107738391362112179,021077383,2020-09-01 17:29:36-0700,896,91383,Phase 3a - Destination Secondary Processing,2020-09-04,2020-09-02
0027120014602232252081122921565,022322520,2020-09-01 18:48:29-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600275762020706111709,002757620,2020-09-01 19:50:19-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-03,
0027120014602258104836853661700,022581048,2020-09-01 22:02:33-0400,891,48340,Phase 1a - Origin Primary Processing,,
0027120014602086239136064237954,020862391,2020-09-01 19:23:38-0500,891,36119,Phase 1a - Origin Primary Processing,,
0027120014602261860076543514116,022618600,2020-09-01 20:59:13-0500,891,77315,Phase 1a - Origin Primary Processing,,
0027120014602087609948813225520,020876099,2020-09-01 19:04:20-0400,481,46802,Phase 1a - Origin Primary Processing,,
0027120014602231942980202563600,022319429,2020-09-01 19:09:32-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027020014600276049638301486065,002760496,2020-09-01 19:50:54-0400,481,23150,Phase 1a - Origin Primary Processing,2020-09-04,
0027120014602231935980120141930,022319359,2020-09-01 19:09:40-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602231916880112302840,022319168,2020-09-01 19:18:11-0600,893,80266,Phase 2a - Destination MMP Processing,2020-09-04,
0027120014602181061301240251555,021810613,2020-09-01 19:07:10-0400,894,06101,Phase 2b - Destination SCF Processing,2020-09-04,
